6e05 512 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ] 14 0 110 5 0
6500 514 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0 ] 5 0 101 0 0
6b06 516 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0 ] 11 0 107 6 0
6a00 518 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 0 ] 10 0 106 0 0
a30c 520 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 0 ] 3 0 163 12 0
dab1 522 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 0 ] 10 11 218 177 780
7a04 524 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 0 ] 10 0 122 4 780
3a40 526 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 0, 0, 5, 0 ] 10 4 58 64 780
1208 528 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 0, 0, 5, 0 ] 2 0 18 8 780
a30c 520 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 0, 0, 5, 0 ] 3 0 163 12 780
dab1 522 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 0, 0, 5, 0 ] 10 11 218 177 780
7a04 524 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 0, 0, 5, 0 ] 10 0 122 4 780
3a40 526 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 0, 0, 5, 0 ] 10 4 58 64 780
1208 528 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 0, 0, 5, 0 ] 2 0 18 8 780
a30c 520 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 0, 0, 5, 0 ] 3 0 163 12 780
