6e05 512 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ] 14 0 110 5 80
6500 514 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0 ] 5 0 101 0 80
6b06 516 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0 ] 11 0 107 6 80
6a00 518 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 0 ] 10 0 106 0 80
a30c 520 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 0 ] 3 0 163 12 80
dab1 522 [ 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 0 ] 10 11 218 177 80
7a04 524 [ 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 177, 6, 0, 0, 5, 0 ] 10 0 122 4 80
3a40 526 [ 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 6, 0, 0, 5, 0 ] 10 4 58 64 80
1208 528 [ 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 64, 6, 0, 0, 5, 0 ] 2 0 18 8 80
7b02 530 [ 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 64, 6, 0, 0, 5, 0 ] 11 0 123 2 80
3b12 532 [ 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 11 1 59 18 80
1206 534 [ 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 2 0 18 6 80
6c20 536 [ 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 12 2 108 32 80
6d1f 538 [ 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 13 1 109 31 80
a310 540 [ 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 3 1 163 16 80
dcd1 542 [ 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 12 13 220 209 80
22f6 544 [ 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 2 15 34 246 80
6000 546 [ 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 0 0 96 0 80
a312 550 [ 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 3 1 163 18 80
d011 552 [ 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 0 1 208 17 80
7008 554 [ 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 0 0 112 8 80
a30e 556 [ 8, 0, 8, 12, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 3 0 163 14 80
d011 558 [ 8, 0, 8, 26, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 0 1 208 17 80
6040 560 [ 25, 0, 8, 26, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 0 4 96 64 80
f015 562 [ 89, 0, 8, 26, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 0 1 240 21 80
f007 564 [ 110, 0, 8, 26, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 0 0 240 7 80
3000 566 [ 117, 0, 8, 26, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 0 0 48 0 80
1234 568 [ 117, 0, 8, 26, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 2 3 18 52 80
c60f 570 [ 117, 0, 60, 26, 0, 0, 0, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 6 0 198 15 80
671e 572 [ 117, 0, 60, 26, 0, 0, 15, 0, 0, 0, 64, 2, 0, 0, 5, 0 ] 7 1 103 30 80
6801 574 [ 117, 0, 60, 26, 0, 0, 15, 30, 0, 0, 64, 2, 0, 0, 5, 0 ] 8 0 104 1 80
69ff 576 [ 117, 0, 60, 26, 0, 0, 15, 30, 1, 0, 64, 2, 0, 0, 5, 0 ] 9 15 105 255 80
a30e 578 [ 117, 0, 60, 26, 0, 0, 15, 30, 1, 255, 64, 2, 0, 0, 5, 0 ] 3 0 163 14 80
d671 580 [ 117, 0, 60, 14, 0, 0, 15, 30, 1, 255, 64, 2, 0, 0, 5, 0 ] 6 7 214 113 80
a310 582 [ 117, 0, 60, 14, 0, 0, 113, 30, 1, 255, 64, 2, 0, 0, 5, 0 ] 3 1 163 16 80
dcd1 584 [ 117, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 0, 0, 5, 0 ] 12 13 220 209 80
6004 586 [ 117, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 209, 0, 5, 0 ] 0 0 96 4 80
e0a1 588 [ 4, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 209, 0, 5, 0 ] 0 10 224 161 80
7cfe 590 [ 161, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 209, 0, 5, 0 ] 12 15 124 254 80
6006 592 [ 161, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 254, 0, 5, 0 ] 0 0 96 6 80
e0a1 594 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 254, 0, 5, 0 ] 0 10 224 161 80
603f 598 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 254, 0, 5, 0 ] 0 3 96 63 80
dcd1 602 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 254, 0, 5, 0 ] 12 13 220 209 80
d671 606 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 254, 0, 5, 0 ] 6 7 214 113 80
8794 610 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 254, 0, 5, 0 ] 7 9 135 148 80
8602 614 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 254, 0, 5, 0 ] 6 0 134 2 80
8712 618 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 254, 0, 5, 0 ] 7 1 135 18 80
12ac 622 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 254, 0, 5, 0 ] 2 10 18 172 80
6801 626 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 254, 0, 5, 0 ] 8 0 104 1 80
68ff 630 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 254, 0, 5, 0 ] 8 15 104 255 80
6901 634 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 255, 64, 2, 254, 0, 5, 0 ] 9 0 105 1 80
d671 636 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 1, 64, 2, 254, 0, 5, 0 ] 6 7 214 113 80
3f01 638 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 1, 64, 2, 254, 0, 5, 0 ] 15 0 63 1 80
12aa 640 [ 6, 0, 60, 16, 0, 0, 113, 30, 1, 1, 64, 2, 254, 0, 5, 1 ] 2 10 18 170 80
471f 642 [ 6, 0, 170, 16, 0, 0, 113, 30, 1, 1, 64, 2, 254, 0, 5, 1 ] 7 1 71 31 80
12aa 644 [ 6, 0, 170, 16, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 1 ] 2 10 18 170 80
6005 646 [ 6, 0, 170, 16, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 1 ] 0 0 96 5 80
8075 648 [ 5, 0, 170, 16, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 1 ] 0 7 128 117 80
3f00 650 [ 117, 0, 170, 16, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 1 ] 15 0 63 0 80
12aa 652 [ 117, 0, 170, 16, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 0 ] 2 10 18 170 80
6001 654 [ 117, 0, 170, 16, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 0 ] 0 0 96 1 80
f018 656 [ 1, 0, 170, 16, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 0 ] 0 1 240 24 80
8060 658 [ 24, 0, 170, 16, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 0 ] 0 6 128 96 80
61fc 660 [ 96, 0, 170, 16, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 0 ] 1 15 97 252 80
8012 662 [ 96, 252, 170, 16, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 0 ] 0 1 128 18 80
