6e01 512 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ] 14 0 110 1
e0 514 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0 ] 0 14 0 224
6d01 516 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0 ] 13 0 109 1
6a01 518 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0 ] 10 0 106 1
6b01 520 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0 ] 11 0 107 1
8cd0 522 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0 ] 12 13 140 208
8ce2 524 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0 ] 12 14 140 226
4c00 526 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0 ] 12 0 76 0
88d0 530 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0 ] 8 13 136 208
223e 532 [ 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 2 3 34 62
a294 574 [ 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 2 9 162 148
f833 576 [ 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 8 3 248 51
f265 578 [ 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 2 6 242 101
2254 580 [ 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 2 5 34 84
8310 596 [ 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 3 1 131 16
8334 598 [ 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 3 3 131 52
8334 600 [ 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 3 3 131 52
8314 602 [ 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 3 1 131 20
a262 604 [ 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 2 6 162 98
f31e 606 [ 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 3 1 243 30
ee 608 [ 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 0 14 0 238
dab5 582 [ 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 10 11 218 181
7a04 584 [ 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0 ] 10 0 122 4
8120 586 [ 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 5, 1, 1, 1, 1, 0 ] 1 2 129 32
2254 588 [ 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 5, 1, 1, 1, 1, 0 ] 2 5 34 84
8310 596 [ 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 5, 1, 1, 1, 1, 0 ] 3 1 131 16
8334 598 [ 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 5, 1, 1, 1, 1, 0 ] 3 3 131 52
8334 600 [ 0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 5, 1, 1, 1, 1, 0 ] 3 3 131 52
8314 602 [ 0, 1, 1, 4, 0, 0, 0, 0, 1, 0, 5, 1, 1, 1, 1, 0 ] 3 1 131 20
a262 604 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 5, 1, 1, 1, 1, 0 ] 2 6 162 98
f31e 606 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 5, 1, 1, 1, 1, 0 ] 3 1 243 30
ee 608 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 5, 1, 1, 1, 1, 0 ] 0 14 0 238
dab5 590 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 5, 1, 1, 1, 1, 0 ] 10 11 218 181
7a05 592 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 5, 1, 1, 1, 1, 0 ] 10 0 122 5
ee 594 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 1, 1, 1, 0 ] 0 14 0 238
3a40 534 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 1, 1, 1, 0 ] 10 4 58 64
1220 536 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 1, 1, 1, 0 ] 2 2 18 32
7d01 544 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 1, 1, 1, 0 ] 13 0 125 1
3d3f 546 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 1, 2, 1, 0 ] 13 3 61 63
120a 548 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 1, 2, 1, 0 ] 2 0 18 10
8cd0 522 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 1, 2, 1, 0 ] 12 13 140 208
8ce2 524 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 2, 2, 1, 0 ] 12 14 140 226
4c00 526 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 0, 2, 1, 0 ] 12 0 76 0
1220 528 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 0, 2, 1, 0 ] 2 2 18 32
7d01 544 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 0, 2, 1, 0 ] 13 0 125 1
3d3f 546 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 0, 3, 1, 0 ] 13 3 61 63
120a 548 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 0, 3, 1, 0 ] 2 0 18 10
8cd0 522 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 0, 3, 1, 0 ] 12 13 140 208
8ce2 524 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 3, 3, 1, 0 ] 12 14 140 226
4c00 526 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 1, 3, 1, 0 ] 12 0 76 0
88d0 530 [ 0, 1, 1, 5, 0, 0, 0, 0, 1, 0, 10, 1, 1, 3, 1, 0 ] 8 13 136 208
223e 532 [ 0, 1, 1, 5, 0, 0, 0, 0, 3, 0, 10, 1, 1, 3, 1, 0 ] 2 3 34 62
a294 574 [ 0, 1, 1, 5, 0, 0, 0, 0, 3, 0, 10, 1, 1, 3, 1, 0 ] 2 9 162 148
f833 576 [ 0, 1, 1, 5, 0, 0, 0, 0, 3, 0, 10, 1, 1, 3, 1, 0 ] 8 3 248 51
f265 578 [ 0, 1, 1, 5, 0, 0, 0, 0, 3, 0, 10, 1, 1, 3, 1, 0 ] 2 6 242 101
2254 580 [ 0, 0, 3, 5, 0, 0, 0, 0, 3, 0, 10, 1, 1, 3, 1, 0 ] 2 5 34 84
8310 596 [ 0, 0, 3, 5, 0, 0, 0, 0, 3, 0, 10, 1, 1, 3, 1, 0 ] 3 1 131 16
8334 598 [ 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 10, 1, 1, 3, 1, 0 ] 3 3 131 52
8334 600 [ 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 10, 1, 1, 3, 1, 0 ] 3 3 131 52
8314 602 [ 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 10, 1, 1, 3, 1, 0 ] 3 1 131 20
a262 604 [ 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 10, 1, 1, 3, 1, 0 ] 2 6 162 98
